indicator,max_rank_ic,optimal_horizon_rank,max_pearson_ic,optimal_horizon_pearson,max_ig,max_mi
balance_uk_government,0.867176358910069,730,0.04533359944110661,730,1.2444315371960206,0.5404537627443998
balance_vaneck,0.469442880220793,450,0.5721330834409873,450,1.174240763249203,0.5100069490517156
runes_count_sum,0.84306146939864,365,0.8363889180889548,365,1.1704319091879907,0.5089667348452495
balance_franklin_templeton,0.46165163221167044,450,0.5451137506422447,450,1.12609665451644,0.4890725761285653
balance_blackrock,0.4534727730230186,450,0.6124040274349054,450,1.1256173408730026,0.4888883811441254
taproot_adoption,0.8683544160099536,730,0.5459534119031568,270,1.1214696822077794,0.4870516866241902
inscriptions_size_sum,0.6920025153784771,450,0.6128379839369341,450,1.1089603728480848,0.4816371811532477
inscriptions_count_sum,0.6920025153784771,450,0.6320091527902683,365,1.1089603728480848,0.4816371811532477
balance_el_salvador,0.9133895668170848,365,0.28830525746354896,365,1.0935538845310266,0.47497161642077534
node_connectivity,0.38698062312983583,90,0.34087701744541593,120,1.0124267917084264,0.4396955360166722
futures_open_interest_cash_margin_sum,0.2764150623181803,730,0.250713338315349,450,0.9979045412611807,0.4333847212562368
purpose_etf_holdings_sum,0.2870100134478571,730,0.15296897866524087,180,0.979410062420778,0.42535332177002644
balance_wisdomtree,0.54075022807068,450,0.669576361543762,450,0.9768398359229573,0.42426621935177317
balance_wbtc,0.5660290479659089,730,0.5663201287172595,450,0.9743978176804604,0.42317631088689983
futures_open_interest_cash_margin_perpetual_sum,0.183421184923786,365,0.364923810936443,365,0.972196625051823,0.4222196295849715
perpetuals_reference_rate,0.8153757824009312,450,0.7438078362181666,450,0.97028844462496,0.4213919171837511
balance_grayscale_trust,0.3844750385287176,730,0.3652272919274581,730,0.9647817638187146,0.41899991950208254
supply_balance_01_1,0.15139129580794233,270,0.350947524086878,365,0.9560756941044695,0.41521849355544893
activity_retention,0.15318828326499953,270,0.40676403686405915,365,0.9554087737322037,0.41492885365141075
holder_retention,0.15318828326499953,270,0.406616094323234,365,0.9554087737322037,0.41492885365141075
