indicator,percentile,threshold,correlation_type,correlation_value,max_rank_ic,max_pearson_ic,long_bear_excess,long_bull_excess,short_bear_excess,short_bull_excess
accumulation_count,2,207445.8,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.18442410074673946,-1.007618539418121,-0.18442410074673946,0.9848545916169791
accumulation_count,3,214791.07,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.18442410074673946,-0.9736558985062446,-0.18442410074673946,0.9563183327013398
accumulation_count,4,227251.4,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.18442410074673946,-0.9751435627573801,-0.18442410074673946,0.9113873873949687
accumulation_count,5,242909.85,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.18442410074673946,-0.9395724749824503,-0.18442410074673946,0.8905360206505625
accumulation_count,6,249740.36,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.18442410074673946,-0.9400253795562552,-0.18442410074673946,0.8823376900677462
accumulation_count,7,265499.51,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.18442410074673946,-0.889483352037,-0.18442410074673946,0.8865496681596118
accumulation_count,8,274014.6,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.18442410074673946,-0.8171550314811447,-0.18442410074673946,0.8902932819144577
accumulation_count,9,281532.77999999997,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.18442410074673946,-0.7952636081530424,-0.18442410074673946,0.8771090265510868
accumulation_count,10,285244.0,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.18442410074673946,-0.7916302982902869,-0.18442410074673946,0.8478883802354641
accumulation_count,20,388648.4,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.01440474905001235,-0.5351849966965045,-0.18442410074673946,0.789327821588055
accumulation_count,30,427325.8,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.08620559270707612,-0.4320722565281797,-0.2649221911794206,0.7654899982061358
accumulation_count,40,481945.6,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.058915512012992666,-0.49792329588943307,-0.11253111822333685,0.778999862043083
accumulation_count,50,501426.0,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.11818753349800262,-0.31952200875749404,-0.06623656724873685,0.6871545353809906
accumulation_count,60,535567.4,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.07189298252340261,-0.2276766820954016,-0.12550858873374682,0.5087532482490515
accumulation_count,70,753651.2,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,-0.08049809043268116,-0.24118654593234878,-0.09821850803966335,0.5746042876103049
accumulation_count,80,766065.8,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.21734872255042947,-0.1700193516967271,0.47149154744197996
accumulation_count,85,798734.6,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.1278417734174968,-0.14131653666876998,0.40886051810196
accumulation_count,90,805755.6,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.15878816390302053,0.0,0.21504624584819765
accumulation_count,91,806656.5800000001,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.1295675175873977,0.0,0.21141293598544209
accumulation_count,92,807263.16,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.11638326222402695,0.0,0.18952151265733996
accumulation_count,93,808048.47,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.12012687597887284,0.0,0.1171931921014846
accumulation_count,94,811573.48,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.12433885407073841,0.0,0.0666511645822293
accumulation_count,95,819245.2,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.11614052348792214,0.0,0.06710406915603417
accumulation_count,96,822043.4,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.0952891567435159,0.0,0.031532981381104386
accumulation_count,97,824851.0499999999,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.05035821143714492,0.0,0.03302064563223994
accumulation_count,98,830046.96,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.02182195252150565,0.0,-0.0009419952796363429
accumulation_count,99,831161.93,negative,-0.06320655621504422,0.1721375036036232,0.3559493337017665,0.0,-0.027785137607467703,0.0,-0.0009419952796363429
accumulation_balance,1,2084768.1439418606,positive,0.13696281554599016,0.6390977771187321,0.5618476373764845,0.0,0.0005614760188341616,0.0,-0.0009419952796363429
accumulation_balance,2,2126690.971570389,positive,0.13696281554599016,0.6390977771187321,0.5618476373764845,0.0,-0.000721587289101544,0.0,0.031693233025516965
accumulation_balance,3,2160588.8534749923,positive,0.13696281554599016,0.6390977771187321,0.5618476373764845,0.0009163182600497033,-0.010683401962921724,0.0,0.05000606666758267
accumulation_balance,4,2170275.9156590584,positive,0.13696281554599016,0.6390977771187321,0.5618476373764845,0.0799858806895302,-0.010683401962921724,0.0,0.08440352236481885
accumulation_balance,5,2175545.4898300176,positive,0.13696281554599016,0.6390977771187321,0.5618476373764845,-0.01645763246689813,-0.010683401962921724,0.0,0.09908896370337428
accumulation_balance,6,2181228.8926909263,positive,0.13696281554599016,0.6390977771187321,0.5618476373764845,0.03155366798084522,-0.010683401962921724,0.0,0.10586918534150935
accumulation_balance,7,2189928.14490074,positive,0.13696281554599016,0.6390977771187321,0.5618476373764845,0.008249638971705608,-0.014676191602364885,0.0,0.15866518414072384
accumulation_balance,8,2197180.690642061,positive,0.13696281554599016,0.6390977771187321,0.5618476373764845,0.034739786414118984,-0.017839861454847172,0.0,0.16666812745381532
