indicator,percentile,threshold,correlation_type,correlation_value,bull_return,bull_excess,bull_sharpe,bull_drawdown,bear_return,bear_excess,bear_sharpe,bear_drawdown,sideways_return,sideways_excess,sideways_sharpe,sideways_drawdown,avg_excess,min_excess,max_drawdown,max_rank_ic,max_pearson_ic
spot_vd_sum,50,-1.681536105698631,positive,0.13630643296498954,2732.312879441677,2729.9105053900753,25.54113137845386,-0.2827066661913848,622.5738890026668,622.9752009047172,25.595496493254586,-0.04580219799123563,5.207292096616505,5.087318662462804,11.4082910407732,-0.07554812998741765,1119.3243416524185,5.087318662462804,-0.2827066661913848,0.2888978539130322,0.3389161114074334
spot_vd_sum,40,-22.092096680667158,positive,0.13630643296498954,2460.592217541827,2458.189843490225,24.10652458088956,-0.1796801162201818,542.3770157959125,542.7783276979629,24.356254347021498,-0.04580219799123551,4.972770408597112,4.852796974443412,10.628730480809462,-0.10263270867932625,1001.9403227208771,4.852796974443412,-0.1796801162201818,0.2888978539130322,0.3389161114074334
spot_vd_sum,60,18.77618558214102,positive,0.13630643296498954,2255.4753986537485,2253.0730246021467,26.17294336728895,-0.31099871832816994,557.866150799328,558.2674627013785,25.959423560490926,-0.04455587787821698,4.882042280887904,4.762068846734204,11.752636617689676,-0.08798640449591044,938.7008520500864,4.762068846734204,-0.31099871832816994,0.2888978539130322,0.3389161114074334
spot_vd_sum,30,-48.02045666964491,positive,0.13630643296498954,1380.5820806451572,1378.1797065935555,21.196269491372686,-0.17998854305188228,379.7156033795346,380.1169152815851,22.329130974292664,-0.05544548681486363,4.013399846309942,3.8934264121562414,9.084805047464654,-0.15050488984954596,587.3966827624323,3.8934264121562414,-0.17998854305188228,0.2888978539130322,0.3389161114074334
spot_vd_sum,70,45.20481943587284,positive,0.13630643296498954,1349.0959637096298,1346.693589658028,26.018334357135526,-0.2233161075598079,397.82965205432214,398.2309639563726,25.483040910131276,-0.04455587787821687,4.0793894391126635,3.959416004958963,11.501017498584021,-0.07651802696315284,582.9613232064531,3.959416004958963,-0.2233161075598079,0.2888978539130322,0.3389161114074334
futures_vd_perpetual,50,0.0,positive,0.04682529630074021,874.2119677739734,871.8095937223716,20.87007630401267,-0.30150876970156854,140.29770070481015,140.69901260686063,17.978670230036244,-0.08186156831739698,3.8330829482186886,3.713109514064988,9.624961134041694,-0.15865336642500605,338.7405719477657,3.713109514064988,-0.30150876970156854,0.18345691405214662,0.13486442414054792
spot_vd_sum,20,-88.7174735600356,positive,0.13630643296498954,524.915448902781,522.5130748511792,17.40943261551178,-0.2397948858604315,195.85316905193025,196.25448095398073,19.170638123356476,-0.06503989252501544,3.022273173309844,2.9022997391561436,7.403218703973312,-0.1325437972310202,240.55661851477203,2.9022997391561436,-0.2397948858604315,0.2888978539130322,0.3389161114074334
futures_vd_perpetual,40,-0.96654896,positive,0.04682529630074021,561.4291487417808,559.026774690179,18.50938503291846,-0.29738583196917057,79.04875457850184,79.45006648055231,15.06121406355099,-0.15036352311206452,3.3799382538197715,3.259964819666071,8.503324917377373,-0.15872960106918094,213.91226866346577,3.259964819666071,-0.29738583196917057,0.18345691405214662,0.13486442414054792
futures_liquidated_volume_long_relative,70,0.77318709961655,negative,-0.06992978200873,435.3940712010264,432.99169714942457,17.914366100757668,-0.15193112600187103,200.74281379314743,201.1441256951979,19.47563896132613,-0.06393756320730394,3.146951669503805,3.0269782353501045,7.9938246701058695,-0.09327644388836875,212.38760035999087,3.0269782353501045,-0.15193112600187103,-0.14656976272303973,-0.16597118119045665
spot_vd_sum,80,86.12704247298143,positive,0.13630643296498954,433.5645180436109,431.1621439920091,23.923439623675115,-0.14663923185100408,202.16504748284393,202.5663593848944,23.984094925567497,-0.04455587787821697,2.6619907558556384,2.5420173217019384,10.103200459634985,-0.09879863635673217,212.0901735662018,2.5420173217019384,-0.14663923185100408,0.2888978539130322,0.3389161114074334
futures_vd_perpetual,60,0.8586511183935066,positive,0.04682529630074021,529.0289126020721,526.6265385504703,20.632783802466886,-0.3081633708314909,70.6673784570836,71.06869035913407,17.272580126572887,-0.0787559290904405,3.3997997008417453,3.279826266688045,9.71141547922808,-0.15765240086731386,200.32501839209746,3.279826266688045,-0.3081633708314909,0.18345691405214662,0.13486442414054792
futures_vd,50,0.0,positive,0.0472104035867158,294.0827010902929,291.6803270386911,19.123575020925596,-0.3121043859797772,49.49999819785483,49.901310099905295,16.289521988013824,-0.08186156831739698,3.228383440711906,3.1084100065582057,9.210110227828622,-0.14511483282783616,114.89668238171818,3.1084100065582057,-0.3121043859797772,0.18660399711204162,0.13607025922888796
futures_liquidated_volume_long_relative,60,0.01622404994680325,negative,-0.06992978200873,224.91443673089938,222.51206267929757,20.218078336762506,-0.15065740899118873,108.33736074870873,108.7386726507592,22.205048681052084,-0.04426483566029942,2.4661706301363906,2.3461971959826906,8.77276272140732,-0.07640565503878946,111.19897750867983,2.3461971959826906,-0.15065740899118873,-0.14656976272303973,-0.16597118119045665
spot_vd_sum,85,119.12748311720493,positive,0.13630643296498954,199.02108501096927,196.61871095936746,22.39925842061619,-0.09547551965094028,119.33009219876824,119.73140410081871,22.390311120939778,-0.044555877878216896,2.140732530789562,2.020759096635862,9.562801334620401,-0.06274824478654609,106.12362471894068,2.020759096635862,-0.09547551965094028,0.2888978539130322,0.3389161114074334
