indicator,percentile,threshold,bull_return,bull_excess,bull_sharpe,bear_return,bear_excess,bear_sharpe,sideways_return,sideways_excess,sideways_sharpe,avg_return,avg_excess
options_volume_put_call_ratio,10,0.4674740250869211,0.004274823421322267,1.0118933628394433,0.032227053283763164,0.5017064870721419,0.3172823863254025,1.6110413738565639,0.24862902788795124,0.4889975988902632,1.4666730339697405,0.2515367794604718,0.6060577826850363
gini_capacity_distribution,80,0.9692620249996667,0.029055225521681025,1.036673764939802,0.26842650521482503,0.43057901079552774,0.24615491004878828,1.0805094661385184,0.276590006615052,0.516958577617364,1.4832626811283998,0.24540808097742026,0.5999290842019848
options_volume_put_call_ratio,9,0.45701261249144287,-0.014967961484183489,0.9926505779339375,-0.11682898042284441,0.4747474046901063,0.2903233039433668,1.5310465063383851,0.2642389615659518,0.5046075325682637,1.61623830388683,0.2413394682572915,0.595860471481856
options_volume_put_call_ratio,30,0.5839997746004933,-0.07342213700480314,0.9341964024133178,-0.32271573311367685,0.4285092734182126,0.24408517267147314,1.0084014075110252,0.32989968374555567,0.5702682547478677,1.1162536642227503,0.22832894005298834,0.5828499432775529
options_volume_put_call_ratio,6,0.4241919586626123,-0.0018611620320712619,1.0057573773860498,-0.01586140729940131,0.4574770527084958,0.2730529519617564,1.6246819053813943,0.22897193922303014,0.46934051022534207,1.6761535964986178,0.2281959432998182,0.5827169465243828
gini_capacity_distribution,70,0.9675267316114405,0.018442496749878346,1.0260610361679994,0.11581967878731537,0.35105435643721555,0.1666302556904761,0.7389830632669038,0.26760551905828417,0.5079740900605961,1.4336497727879827,0.21236745741512605,0.5668884606396906
gini_capacity_distribution,85,0.9697396611958766,0.01338153198405618,1.0210000714021772,0.15891298229365808,0.5427908111248937,0.35836671037815426,1.3917570276519864,0.0661249123166779,0.30649348331898985,1.3409460626056346,0.2074324184752093,0.5619534216997738
options_volume_put_call_ratio,7,0.43800115667589684,-0.008822716081251968,0.998795823336869,-0.07406714848982064,0.36316803699902434,0.17874393625228488,1.2447799030655957,0.232613563348784,0.47298213435109593,1.7024448016080627,0.19565296142218547,0.55017396464675
node_connectivity,40,4059.8666666666672,-0.050857803979223556,0.9567607354388974,-0.27942398956942494,0.49862014501903995,0.3141960442723005,0.9808697192167681,0.13274215785177051,0.3731107288540825,0.7913170151843273,0.19350149963052896,0.5480225028550935
options_volume_put_call_ratio,8,0.4487656923830422,-0.012982233538873112,0.9946363058792479,-0.10139992856518036,0.3746703673703707,0.19024626662363123,1.2732353898860214,0.1943097738302872,0.43467834483259915,1.3289519255674818,0.18533263588726157,0.539853639111826
options_volume_put_call_ratio,5,0.40928119488376247,0.00904778536722674,1.0166663247853478,0.08342293534832959,0.36798728636674083,0.18356318562000137,1.3899258335100146,0.1706239630864666,0.41099253408877856,1.3111720525930959,0.1825530116068114,0.5370740148313758
balance_uk_government,70,61245.01270811,-0.06760442051671808,0.9400141189014029,-0.42669225981725395,0.4852719121391996,0.3008478113924602,0.9520465049056085,0.10124232580453284,0.3416108968068448,0.2966573814650252,0.17296993914233813,0.5274909423669026
options_volume_put_call_ratio,40,0.6412003035707562,-0.13801124089775124,0.8696072985203698,-0.48472785469474955,0.434166200697277,0.24974209995053756,0.9613347307392197,0.21272643883410017,0.45309500983641215,0.6472803348846194,0.16962713287787531,0.5241481361024398
options_25delta_skew_all,40,-0.02334868177682305,-0.06370971231738856,0.9439088271007324,-0.2750404762495628,0.376644284697486,0.19222018395074655,0.7246048872178531,0.16701592887344752,0.4073844998757595,0.42816727284293893,0.15998350041784834,0.5145045036424128
futures_funding_rate_perpetual,60,7.690142483050767e-05,-0.39762865873779063,0.6099898806803303,-0.9662497860964944,0.855434928835992,0.6710108280892526,1.99003861799107,0.00896792859355103,0.249336499595863,0.026046529066234697,0.1555913995639175,0.5101124027884819
options_25delta_skew_3_months,40,-0.04161489606271878,-0.01168862433839968,0.9959299150797213,-0.05383710795102243,0.31907692534598,0.13465282459924052,0.6105269062473371,0.15879037680745436,0.39915894780976635,0.4242747050015988,0.15539289260501155,0.509913895829576
balance_wbtc,20,1041.20181909,-0.04245576168345714,0.9651627777346639,-0.3381625266292079,0.25898475107201424,0.07456065032527479,0.6650536660512587,0.2422043190587659,0.48257289006107784,1.0197058484476627,0.15291110281577433,0.5074321060403388
node_connectivity,30,3845.0,-0.09045118276677959,0.9171673566513414,-0.6431650078459674,0.349459169502062,0.16503506875532256,0.7346269756330879,0.19791612248204885,0.43828469348436083,2.3141040911490465,0.1523080364057771,0.5068290396303415
options_volume_put_call_ratio,4,0.3909227877907755,-0.008563469578674382,0.9990550698394466,-0.09137197158819614,0.32518962523113887,0.1407655244843994,1.252924058157509,0.13278550287991295,0.3731540738822249,1.14847657279924,0.14980388617745913,0.5043248894020236
purpose_etf_holdings_sum,8,20680.437833,-0.039652615948728265,0.9679659234693927,-0.42166750285140137,0.482053529426679,0.2976294286799396,1.6192787592676259,0.0,0.24036857100231196,0.0,0.14746697115931692,0.5019879743838814
balance_uk_government,80,61245.01291728,-0.06760442051671808,0.9400141189014029,-0.42669225981725395,0.401408967571052,0.21698486682431253,1.0330752872305105,0.10124232580453284,0.3416108968068448,0.2966573814650252,0.14501562428628892,0.4995366275108534
options_volume_put_call_ratio,20,0.527253791529293,-0.013853259004716342,0.9937652804134046,-0.07098034929846406,0.30732874016531825,0.12290463941857879,0.8367299087405858,0.14016095035732268,0.38052952135963464,0.5954993559086257,0.14454547717264152,0.499066480397206
